Date,Weekly_Sales
2012-11-02,32085602.0
2012-11-09,30730864.0
2012-11-16,29167494.0
2012-11-23,29019954.0
2012-11-30,29723944.0
2012-12-07,29942070.0
2012-12-14,28993760.0
2012-12-21,29872668.0
2012-12-28,29519888.0
2013-01-04,28453110.0
2013-01-11,27704864.0
2013-01-18,26954208.0
2013-01-25,27414470.0
2013-02-01,27755174.0
2013-02-08,27824680.0
2013-02-15,28512430.0
2013-02-22,27861196.0
2013-03-01,28113388.0
2013-03-08,28069030.0
2013-03-15,28099382.0
2013-03-22,28026426.0
2013-03-29,27570994.0
2013-04-05,28739972.0
2013-04-12,28324934.0
2013-04-19,28573352.0
2013-04-26,28201388.0
2013-05-03,29238354.0
2013-05-10,28578164.0
2013-05-17,28907240.0
2013-05-24,29117810.0
2013-05-31,28177712.0
2013-06-07,29317016.0
2013-06-14,28197140.0
2013-06-21,28901106.0
2013-06-28,29112532.0
2013-07-05,28962232.0
2013-07-12,29060792.0
2013-07-19,28206822.0
2013-07-26,29049814.0
