Date,Weekly_Sales
2012-11-02,2743136.75
2012-11-09,2789534.5
2012-11-16,2783866.25
2012-11-23,2735890.0
2012-11-30,2653390.25
2012-12-07,2770034.5
2012-12-14,2716384.75
2012-12-21,2757109.0
2012-12-28,2657146.25
2013-01-04,2734443.0
2013-01-11,2738756.0
2013-01-18,2744051.5
2013-01-25,2668786.25
2013-02-01,2735473.0
2013-02-08,2741977.0
2013-02-15,2755706.0
2013-02-22,2715150.0
2013-03-01,2747062.0
2013-03-08,2754446.0
2013-03-15,2753612.25
2013-03-22,2715150.0
2013-03-29,2639182.0
2013-04-05,2761059.25
2013-04-12,2721677.5
2013-04-19,2759451.75
2013-04-26,2649784.25
2013-05-03,2741976.75
2013-05-10,2745921.5
2013-05-17,2744051.5
2013-05-24,2675951.75
2013-05-31,2612414.75
2013-06-07,2753561.25
2013-06-14,2757062.75
2013-06-21,2753307.75
2013-06-28,2684844.0
2013-07-05,2739568.25
2013-07-12,2738991.0
2013-07-19,2759451.75
2013-07-26,2708858.5
